"","X","idno","agea","gndr","hinctnta","hlthhmp","medtrun","fltsd","cldgng","fltdpr","slprl","cgtsmok","alcfreq","dosprt","ctrlife"
"787",816,68171,90,2,5,3,2,1,1,2,2,4,1,7,9
"788",817,68177,75,1,77,3,2,2,2,2,3,6,3,7,8
"789",818,68193,36,2,2,3,2,1,1,1,2,6,7,4,5
"790",819,68220,64,1,8,3,2,1,1,1,2,5,2,5,7
"791",820,68227,58,1,77,2,2,1,2,1,1,4,7,0,8
"792",821,68247,54,2,10,3,2,1,1,1,2,6,2,3,8
"793",822,68253,64,1,2,3,2,1,1,1,1,1,4,3,10
"794",823,68259,27,1,6,3,2,2,2,1,2,6,4,7,8
"795",824,68268,37,2,2,2,2,2,1,2,3,6,6,7,5
"796",825,68272,41,2,88,2,2,2,2,2,2,6,3,7,1
"797",826,68273,32,1,8,3,2,1,2,1,1,4,3,4,8
"798",827,68279,48,2,8,3,2,1,2,1,2,6,1,3,7
"799",828,68309,38,1,10,2,1,2,2,2,1,6,6,1,6
"800",829,68326,71,2,10,2,2,2,2,2,3,4,3,0,5
"801",830,68361,33,2,8,3,2,2,1,1,2,6,4,3,8
"802",831,68417,66,2,88,2,2,2,2,2,3,1,7,3,5
"803",833,68502,25,2,77,3,2,1,1,1,1,6,2,7,8
"804",834,68505,81,1,77,2,2,1,1,1,1,4,7,0,7
"805",835,68522,79,1,77,1,2,1,1,1,2,6,2,0,8
"806",836,68528,38,2,9,2,1,2,2,2,3,5,7,2,7
"807",838,68643,69,1,6,3,2,1,1,1,1,4,2,6,10
"808",839,68648,21,2,4,3,2,1,1,1,1,3,3,2,7
